Filename,GLRLM1,GLRLM2,GLRLM3,GLRLM4,GLRLM5,GLRLM6,GLRLM7,GLRLM8,GLRLM9,GLRLM10,GLRLM11,GLCM1,GLCM2,GLCM3,GLCM4,GLCM5,GLCM6,GLCM7,GLCM8,GLCM9,GLCM10,GLCM11,GLCM12,GLCM13,GLCM14,GLCM15,GLCM16,GLCM17,GLCM18,GLCM19,GLCM20,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,isRegular
dnm (1).bmp,0.00076651122690474,6016.5976942153,21088.26966524,473.23804189864,0.56392560686384,0.83129103843958,11.779728540873,0.00063582914891029,0.0020378574039949,4886.1149996834,596650.55574446,5270.5725697568,1915.8658996625,0.84620299886654,2484778249.4117,7455241.3890897,18.095008202974,0.013504246007422,-0.012815301035232,0.30421561672978,0.11398476441268,13103.327225455,165.81783127998,50499.792755607,-0.018364701857837,1915.8658996625,-0.05963674805652,0.33254349314351,0.15255126858128,0.94752978498124,0.97934732864739,0.0027254332289166,5.987994845757e-10,7.5713883406924e-14,1.8432611968826e-06,3.0292610734098e-22,3.2935232389062e-16,-1.3912622155438e-23,0
dnm (2).bmp,0.0020618714572467,5140.7468971126,22529.932433663,499.20531511324,0.57777622767857,0.84817719559928,11.414359138029,0.0013993893216958,0.011794668873411,4246.4069563354,576805.73578529,5967.1496536532,2154.1802616592,0.84709851841549,3094297067.6923,8670192.8273396,19.072337690837,0.013644539227714,-0.012955270188558,0.32230043631679,0.11398476441268,12265.236623169,144.58115196924,46931.756135052,-0.018315658219066,2154.1802616592,-0.062887505305871,0.33965709468917,0.15351102137465,0.9455776696307,0.97747887900735,0.0032959492297601,1.1679757130418e-09,1.2677055875997e-12,2.65510118826e-06,-1.8813320483587e-21,-2.4433110979824e-15,1.4786297011476e-22,0
dnm (3).bmp,0.0012249536534122,5945.6187129934,24238.301241839,452.40816912433,0.5964835030692,0.8644039900472,10.868484835613,0.00095351357664523,0.0044551792551096,4914.3604737454,561674.74549145,5588.9704299996,2217.2604365863,0.8344980267061,2664166557.9523,7929939.6820207,21.093357158532,0.013394850920058,-0.012705962461413,0.27840356839932,0.11398476441268,13174.520943726,161.71563371893,50730.409996118,-0.017606948207084,2217.2604365863,-0.049060040935017,0.34687463380481,0.15244440216151,0.93861930008572,0.97634990972353,0.0028198892722364,4.3428867851923e-10,1.3730900890164e-11,2.0048171575994e-06,-6.9569820398219e-22,3.9341282434853e-16,-3.7706301013421e-22,0
dnm (4).bmp,0.00062424214138199,6173.1787645892,22528.058974943,466.37875763236,0.57730974469866,0.84719616450374,11.421379870313,0.0005063291796897,0.0018761176132269,5090.2531253427,582102.49076125,5269.4411777862,1938.4051485418,0.84464592329964,2446125180.546,7397622.1815465,18.610766272715,0.013435391530798,-0.012746496795921,0.2928789192668,0.11398476441268,13261.785038918,167.57650187571,51104.019537102,-0.017805423989025,1938.4051485418,-0.055434065372683,0.34168306932272,0.15249029739003,0.94574432310035,0.97911204397119,0.0026677601513317,3.508198347973e-10,1.0488764139242e-12,1.7639705049132e-06,-1.8270231650819e-23,-6.908596357976e-17,6.6620115551146e-24,0
dnm (5).bmp,0.00059940689203356,6160.7593218505,22007.280415507,467.22038967226,0.57078334263393,0.8426385080536,11.624843423008,0.00048540616593278,0.0018256530718814,5048.9673401628,589585.32487603,5107.0973689988,1985.9018098791,0.8372229763276,2382046595.5979,7237092.6015512,18.720916016176,0.013413463397346,-0.012724608520818,0.29232155907343,0.11398476441268,13261.916538135,169.1411381757,51029.124427958,-0.018062672698629,1985.9018098791,-0.055218003892988,0.33958199526349,0.15231222299309,0.94561529154221,0.97886022742424,0.0026474121550244,1.477514893257e-09,1.5311614838181e-13,1.6984449395695e-06,-4.1589534929638e-24,4.969266449644e-17,-7.7267571880696e-25,0
dnm (6).bmp,0.00049084676352909,6383.0035329234,19647.572576014,525.39336226641,0.54607282366071,0.81582029910558,12.377370027961,0.00038798180861598,0.001613292747878,5159.1266499417,618890.73460683,4969.6568117494,1951.9402854844,0.83585130668622,2318376728.4129,7097623.3005247,17.235320856453,0.013667186629626,-0.01297808037418,0.33102778339121,0.11398476441268,13310.774815085,171.58368078414,51278.131448551,-0.019245511950959,1951.9402854844,-0.06937700593298,0.32027695927017,0.15294149161355,0.95096222272893,0.97933699689174,0.0026024047254855,1.9544527291177e-09,3.3494857426205e-12,1.6360306350452e-06,1.9935745311848e-27,-2.2307799446152e-18,-2.051479664131e-26,0
dnm (7).bmp,0.00047210302393273,6440.6598920327,19725.600853473,535.46190237361,0.54701450892857,0.81691121598684,12.337021792998,0.00037568696651353,0.0015396821487512,5205.1121465573,617350.40491948,4955.4784603751,1911.7935619717,0.83829584777343,2297822027.1787,7059899.8275195,17.103947877154,0.013662920593465,-0.012973833585341,0.32794877367762,0.11398476441268,13364.32364112,172.58261492001,51525.149052062,-0.019359786418231,1911.7935619716,-0.068858573648264,0.31785473332194,0.15282015740328,0.95117169160959,0.97964003406164,0.0025853669061026,1.8937558409112e-09,3.7404148602999e-12,1.6158924192612e-06,-6.4807910290802e-27,-2.5056906868876e-18,-7.3641395323894e-26,0
dnm (8).bmp,0.00060573873994001,6578.8089328523,20108.095215456,466.90534959748,0.54942975725446,0.82288596702998,12.287471293876,0.00047173354930897,0.0021034489662936,5379.4661662481,614803.62305415,5249.9831270092,2009.0443430829,0.83940936548875,2448858058.5403,7435011.0505335,18.17196463839,0.013546355752483,-0.012857355094238,0.3118166357947,0.11398476441268,13354.460163575,169.11705173621,51615.489010154,-0.018268276342815,2009.0443430829,-0.062441749050271,0.33507964397244,0.15284935059019,0.94793362612567,0.9786125623101,0.002658300594081,3.2899963824979e-10,5.1725281907805e-12,1.7506470002121e-06,-3.6977040770454e-22,1.1650228930957e-16,-8.2416722027823e-23,0
dnm (9).bmp,0.00060198213015586,6477.2347816724,19953.322229151,482.67375839303,0.54744611467634,0.82109249202215,12.354226577655,0.0004683640142572,0.0020737690794422,5311.1020523608,616400.55615046,5351.5810726308,1845.8850434183,0.85290764472902,2507214321.521,7540840.002448,17.444820631786,0.01354540100468,-0.012856423986456,0.31312217585696,0.11398476441268,13306.417669688,167.71876861344,51387.977967438,-0.018460846710384,1845.8850434183,-0.062908917626164,0.33096125615518,0.15270969044571,0.94943245371025,0.98005470991753,0.002699437320484,5.5339070230928e-10,6.0600995851555e-12,1.7951828058077e-06,-6.5193257380646e-22,-4.4792940835244e-16,-1.1952525346175e-22,0
dnm (10).bmp,0.00070281906738192,6230.2256968414,19580.806576073,485.93933281839,0.54373604910714,0.81742465295687,12.467338993433,0.00054556539378229,0.0024113046970041,5079.925755859,619323.04497419,5326.0624331325,2063.6457934941,0.83772398401449,2550109713.3374,7598444.3739269,18.210001358454,0.013614443515354,-0.012925359526527,0.32086655027505,0.11398476441268,12996.812490465,163.51193349844,50109.958485399,-0.018704023057985,2063.645793494,-0.065389824185355,0.32722432286443,0.15292156002579,0.94820433328888,0.97817213443218,0.0027727333660159,3.6383573452986e-10,5.2586764331467e-12,1.8976428548679e-06,-4.320539531666e-23,-1.3911461604863e-16,-1.2688736031254e-23,0
